round,player,team,score
20,309,Jordan Murdoch,52
20,309,Tom Ledger,52
20,309,Luke Tapscott,52
20,313,Benjamin Stratton,51
20,313,Heath Hocking,51
20,313,Brent Moloney,51
20,316,Beau Waters,50
20,316,Ben Sinclair,50
20,316,Reece Conca,50
20,316,Zephaniah Skinner,50
20,320,Matthew Suckling,49
20,320,Adam Goodes,49
20,320,Jared Brennan,49
20,320,Robin Nahas,49
20,324,Josh Gibson,48
20,324,Mark Baguley,48
20,324,Jack Darling,48
20,324,Nathan Djerrkura,48
20,324,Steven Motlop,48
20,329,Josh Jenkins,47
20,329,Sam Darley,47
20,329,Kieran Harper,47
20,332,Jamie Elliott,46
20,332,Dylan Roberton,46
20,334,Lewis Johnston,44
20,334,Brad Green,44
20,334,Christopher Mayne,44
20,334,Daniel Rich,44
20,338,Jamie MacMillan,43
20,338,Dylan Addison,43
20,340,Curtly Hampton,42
20,340,Kepler Bradley,42
20,340,Jason Johannisen,42
20,340,Ashton Hams,42
20,344,Justin Sherman,40
20,344,Nick Riewoldt,40
20,344,Chris Tarrant,40
20,344,Andrew Hooper,40
20,348,Brandon Ellis,39
20,348,Simon White,39
20,348,Trent Dennis-Lane,39
20,348,Tendai Mzungu,39
20,352,Daniel Hannebery,38
20,353,Andrew Embley,37
20,353,Adam McPhee,37
20,355,Andrew Raines,36
20,355,Daniel Wells,36
20,355,Alan Toovey,36
20,358,James Polkinghorne,35
20,358,Darren Pfeiffer,35
20,360,Will Schofield,34
20,360,Shaun Edwards,34
20,362,Troy Chaplin,33
20,362,Garrick Ibbotson,33
20,362,Tom Simpkin,33
20,365,Mitch Robinson,32
20,365,Claye Beams,32
20,367,Ryan Crowley,31
20,368,Tim Golds,30
20,368,Lachie Neale,30
20,368,Nathan Brown,30
20,371,Andrew Moore,29
20,372,Nathan Blee,27
20,372,Benjamin Griffiths,27
20,374,Jackson Sheringham,26
20,374,Jeremy Taylor,26
20,376,Tom Campbell,25
20,377,Joshua Walker,24
20,377,Israel Folau,24
20,379,Dale Thomas,23
20,380,Todd Banfield,22
20,380,Leroy Jetta,22
20,380,Fletcher Roberts,22
20,383,Jayden Post,21
20,383,Scott Gumbleton,21
20,383,Tom Swift,21
20,386,Rhys O'Keeffe,18
20,387,Tony Armstrong,16
20,388,Bradley Helbig,15
20,388,Tom Hawkins,15
20,390,Aidan Riley,14
20,391,James Magner,13
20,392,John McCarthy,12
20,393,Leigh Adams,11
20,394,Zac Dawson,10
20,395,Angus Monfries,8
20,395,Steven May,8
