gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak,homePreviousRainfall,awayPreviousRainfall
2017R404,2017,4,15/04/2017,Manuka Oval,16:35:00,9185,Greater Western Sydney,112,Port Adelaide,81,0,1,1,0,2,1,2,2,457,-52,-5.361217949,7.056344697,63.52272727,77.09090909,72.8530303,72.60454545,75.46725651,73.9806656,4,10,360,272,132.3529412,338,238,142.0168067,5,4,7,7,0,0
2017R405,2017,4,15/04/2017,Docklands,19:25:00,24968,Carlton,82,Gold Coast,108,0,0,1,1,3,0,2,1,162,74,-16.57638889,-3.604166667,66.09090909,66.38636364,70.68333333,74.78636364,72.50029762,76.88449888,14,15,210,260,80.76923077,293,311,94.21221865,14,11,6,6,14.2,1
2017R406,2017,4,15/04/2017,Adelaide Oval,19:10:00,47492,Adelaide,153,Essendon,88,0,1,1,0,2,0,1,2,-16,81,-4.181818182,2.520979021,71.95454545,82,73.71363636,78.17386364,75.44171756,77.90978737,5,18,360,263,136.8821293,269,232,115.9482759,1,7,7,6,0,14.2
2017R407,2017,4,16/04/2017,Docklands,15:20:00,36650,Collingwood,55,St Kilda,69,0,0,1,1,0,0,2,2,-35,-20,8.05239899,16.27651515,75.54545455,63.72727273,76.67121212,72.49431818,77.57148341,72.96939878,12,9,246,278,88.48920863,294,312,94.23076923,12,10,9,7,0,14.2
2017R408,2017,4,16/04/2017,Gabba,16:40:00,21669,Brisbane Lions,67,Richmond,119,0,0,0,1,3,0,2,1,13,1,-10.52884615,1.5,66.43181818,73.43181818,72.61060606,76.48560606,71.47519772,75.62209145,17,13,258,314,82.1656051,307,234,131.1965812,13,2,7,8,14.2,0
2017R409,2017,4,17/04/2017,M.C.G.,15:20:00,62360,Hawthorn,48,Geelong,134,0,0,0,1,1,0,4,1,174,4,-6.132242757,13,83.84090909,78.45454545,77.56363636,79.43712121,75.39980275,76.93342116,3,2,233,368,63.31521739,353,281,125.6227758,18,3,8,9,1,0
2017R501,2017,5,21/04/2017,Adelaide Oval,19:20:00,43120,Port Adelaide,137,Carlton,47,12.4,1,0,0,2,0,2,2,84,316,-2.042892157,90.77455357,78.43181818,56.75,73.22727273,62.33409091,73.70905903,64.27660341,10,14,419,350,119.7142857,292,368,79.34782609,7,14,6,6,0,0
2017R502,2017,5,22/04/2017,Docklands,13:45:00,31822,Western Bulldogs,122,Brisbane Lions,90,5.5,1,1,0,0,0,1,4,204,-8,-11.475,19.19672619,62.79545455,63.59090909,71.07689394,69.99886364,74.20407901,68.56358189,7,17,372,348,106.8965517,325,433,75.05773672,6,15,8,6,0,0
2017R503,2017,5,22/04/2017,Carrara,16:35:00,12672,Gold Coast,86,Adelaide,153,16.8,0,1,1,3,0,1,1,73,-28,34.17878788,-47.17708333,64.56818182,72.38636364,73.07727273,75.24204545,75.83601802,77.23256351,15,5,401,393,102.0356234,513,351,146.1538462,9,2,7,7,0,0
2017R504,2017,5,22/04/2017,S.C.G.,19:25:00,34824,Sydney,63,Greater Western Sydney,105,0.4,0,0,1,0,0,4,1,-266,-275,-11.25557776,-8.584415584,78.29545455,62.20454545,73.19431818,72.43636364,73.51955356,76.37633781,1,4,313,391,80.0511509,472,353,133.7110482,16,4,9,7,0,0
2017R505,2017,5,22/04/2017,Subiaco,17:40:00,33319,Fremantle,67,North Melbourne,62,0,1,1,0,3,0,1,2,-13,152,-23,29.69017857,51.13636364,75.79545455,70.01363636,71.55,68.58555928,70.51722609,16,8,324,437,74.14187643,357,446,80.04484305,12,17,7,8,0,0
2017R506,2017,5,23/04/2017,Docklands,15:20:00,33884,St Kilda,88,Geelong,126,5.4,0,1,1,1,0,3,3,43,-96,-6.914393939,6.58015873,67.09090909,77.5,73.95454545,78.20606061,74.34606708,76.10281673,9,2,363,367,98.91008174,487,329,148.0243161,10,1,7,6,0,0
2017R507,2017,5,23/04/2017,M.C.G.,16:40:00,28997,Hawthorn,125,West Coast,75,5.4,1,0,1,4,0,1,2,78,199,5.282051282,1.935119048,83.40909091,67.38636364,77.96818182,70.32954545,75.1551664,73.60514918,3,6,281,502,55.97609562,408,331,123.2628399,18,5,6,10,0,0
2017R508,2017,5,24/04/2017,M.C.G.,19:25:00,85657,Richmond,88,Melbourne,75,0.4,1,1,0,0,0,1,4,75,-5,33.2,-5.343589744,68.93181818,69.81818182,74.55227273,70.14090909,73.54768297,75.17297525,13,11,426,301,141.5282392,407,386,105.4404145,3,8,8,9,0,0
2017R509,2017,5,25/04/2017,M.C.G.,15:20:00,87685,Essendon,100,Collingwood,82,27.8,1,0,0,0,0,2,3,39,28,62.06538462,-7.064458689,75.27272727,75.27272727,71.76969697,77.84659091,71.72770563,78.30406947,18,12,357,385,92.72727273,301,347,86.74351585,11,13,10,9,0,0
2017R601,2017,6,28/04/2017,Manuka Oval,19:50:00,14048,Greater Western Sydney,75,Western Bulldogs,73,0,1,1,1,2,1,1,3,97,312,3.033088235,13.05035104,61.27272727,60.11363636,72.2,69.44204545,76.53541677,73.58376346,4,7,577,416,138.7019231,494,438,112.7853881,4,5,6,6,0.4,5.5
2017R602,2017,6,29/04/2017,York Park,13:45:00,15571,Hawthorn,55,St Kilda,130,0,0,1,0,4,4,1,2,135,-43,-11.05,-13.17147436,86.02272727,67.84090909,78.76363636,74.83863636,76.49142427,75.95485399,3,9,406,577,70.36395147,451,493,91.48073022,15,11,6,6,5.4,5.4
2017R603,2017,6,29/04/2017,M.C.G.,14:10:00,32678,Carlton,97,Sydney,78,0,1,0,0,2,0,4,4,-227,277,-48.60235761,22.79873512,63.88636364,77.18181818,70.0030303,68.725,72.99287706,69.119282,14,1,339,505,67.12871287,376,496,75.80645161,16,18,8,7,12.4,0.4
2017R604,2017,6,29/04/2017,Gabba,16:35:00,13638,Brisbane Lions,67,Port Adelaide,150,0,0,0,1,3,0,3,2,60,0,-15.96046176,3.769771242,68.56818182,79.68181818,72.56363636,73.14545455,71.11873997,74.21915475,17,10,415,555,74.77477477,556,397,140.0503778,14,6,7,8,5.5,12.4
2017R605,2017,6,29/04/2017,Docklands,19:25:00,15431,North Melbourne,107,Gold Coast,94,0,1,0,0,3,0,2,2,226,-1,-3.863707983,19.796875,77.63636364,62.43181818,72.95606061,71.05909091,71.32919266,73.78431482,8,15,419,513,81.67641326,487,546,89.19413919,17,12,7,7,0,16.8
2017R606,2017,6,29/04/2017,Subiaco,18:10:00,40836,West Coast,103,Fremantle,62,0,1,0,1,0,0,3,1,-92,174,-3.296500545,24.625,69.72727273,51.81818182,70.63333333,68.34772727,73.49456542,67.885406,6,16,483,456,105.9210526,391,499,78.35671343,7,9,6,7,5.4,0
2017R607,2017,6,30/04/2017,Docklands,13:10:00,44040,Essendon,74,Melbourne,112,0,0,1,0,0,0,5,5,418,-293,-12.75107143,-3.117765152,83.29545455,71.5,77.7,71.64090909,77.1164624,75.65136453,18,11,457,467,97.85867238,482,474,101.6877637,8,10,5,6,27.8,0.4
2017R608,2017,6,30/04/2017,M.C.G.,15:20:00,46457,Geelong,78,Collingwood,107,0,0,1,0,0,1,2,2,37,-49,-15.55128205,-4.441773504,78.88636364,76.38636364,81.94545455,78.73636364,79.37903225,78.46079388,2,12,613,417,147.0023981,383,447,85.68232662,2,13,7,5,5.4,27.8
2017R609,2017,6,30/04/2017,Adelaide Oval,16:10:00,51069,Adelaide,140,Richmond,64,0,1,1,1,2,0,2,2,-51,-144,-5.246288515,8.311688312,75.90909091,69.68181818,76.33181818,73.71931818,78.2092867,72.28898549,5,13,666,437,152.402746,514,376,136.7021277,1,3,8,6,16.8,0.4
2017R701,2017,7,5/05/2017,Docklands,19:50:00,21160,St Kilda,108,Greater Western Sydney,85,0,1,1,1,2,0,1,3,64,13,37.78333333,6.007936508,66.56818182,62.38636364,72.84469697,72.74545455,74.50563289,75.76851404,9,4,581,548,106.0218978,652,489,133.3333333,9,2,6,7,0,0
2017R702,2017,7,6/05/2017,Bellerive Oval,13:45:00,10064,North Melbourne,145,Adelaide,86,0,1,1,1,2,2,3,1,-138,-4,5.244318182,-6.102564103,76.65909091,72.13636364,71.7875,76.81818182,70.65574741,78.82974313,8,5,526,607,86.65568369,806,501,160.8782435,15,1,7,6,0,0
2017R703,2017,7,6/05/2017,M.C.G.,14:10:00,70279,Collingwood,56,Carlton,79,0,0,1,1,0,0,3,2,274,-238,-7.508025308,-24.28494398,76.40909091,67.65909091,79.94545455,73.76022727,79.53494505,76.24835321,12,14,490,525,93.33333333,436,583,74.78559177,12,14,6,7,0,0
2017R704,2017,7,6/05/2017,Adelaide Oval,16:05:00,38333,Port Adelaide,87,West Coast,97,0,0,1,1,3,0,1,1,-177,-31,-21.98325359,15.41875,78.97727273,70.38636364,73.85454545,71.58409091,75.53210586,75.34579445,10,6,706,464,152.1551724,586,518,113.1274131,5,6,7,7,0,0
2017R705,2017,7,6/05/2017,Docklands,19:25:00,46387,Western Bulldogs,80,Richmond,75,0,1,0,0,0,0,1,4,-273,199,-14.92307692,5.792973856,63,66.52272727,70.30909091,71.93106061,73.96417657,70.79085884,7,13,567,513,110.5263158,578,516,112.0155039,7,4,8,6,0,0
2017R706,2017,7,6/05/2017,Carrara,19:25:00,13648,Gold Coast,124,Geelong,99,0,1,0,0,3,0,4,4,-83,71,-6.969645908,9.106438333,65.45454545,76.56818182,71.91363636,78.28030303,75.17013118,77.29846256,15,2,581,653,88.97396631,691,524,131.870229,13,3,7,6,0,0
2017R707,2017,7,7/05/2017,S.C.G.,13:10:00,25619,Sydney,135,Brisbane Lions,81,1.2,1,0,0,0,0,5,2,-147,117,-17.49209957,21.77129488,77.47727273,69,72.85909091,70.86818182,73.13885336,69.26051586,1,17,454,593,76.55986509,482,705,68.36879433,18,16,8,8,0,0
2017R708,2017,7,7/05/2017,M.C.G.,15:20:00,38693,Melbourne,91,Hawthorn,94,2,0,1,0,0,0,2,2,81,-364,12.25,-3.865625,67.5,84.06818182,70.15,79.70227273,74.68372878,76.46011425,11,3,594,548,108.3941606,461,707,65.20509194,8,17,7,8,0,0
2017R709,2017,7,7/05/2017,Subiaco,14:40:00,33393,Fremantle,116,Essendon,79,0,1,0,0,3,0,2,6,-69,-345,-10.60208333,5.365674868,54.75,80.77272727,70.18030303,77.53257576,69.31611681,75.78250097,16,18,453,602,75.24916944,531,579,91.70984456,11,10,8,7,0,0
2017R801,2017,8,12/05/2017,Subiaco,18:10:00,38934,West Coast,69,Western Bulldogs,61,0,1,1,1,3,0,2,3,83,345,26.171875,10.79920635,69.11363636,62.34090909,69.90454545,70.21590909,73.2866718,73.16141059,6,7,683,605,112.892562,647,588,110.0340136,4,5,6,6,0,0
2017R802,2017,8,13/05/2017,York Park,13:45:00,10553,Hawthorn,113,Brisbane Lions,75,7.2,1,1,0,0,4,2,3,152,-15,37.16452206,9.319113757,78.20454545,66.11363636,75.75909091,70.39431818,73.31542836,68.59490284,3,17,555,798,69.54887218,563,840,67.02380952,16,18,6,6,2,1.2
2017R803,2017,8,13/05/2017,Docklands,14:10:00,38014,St Kilda,85,Carlton,66,0,1,1,1,0,0,2,2,-48,73,-23.34769918,14.23680556,69.09090909,65.90909091,76.71818182,72.60454545,76.87076435,75.43649619,9,14,689,633,108.8467615,515,639,80.59467919,8,13,8,7,0,0
2017R804,2017,8,13/05/2017,Sydney Showground,16:35:00,11360,Greater Western Sydney,102,Collingwood,99,0.2,1,0,0,2,0,3,4,-3,-304,-2.892942243,8.12019773,62.20454545,73.47727273,72.54090909,78.46818182,76.14277084,77.5866677,4,12,737,597,123.4505863,546,604,90.39735099,2,15,8,7,0,0
2017R805,2017,8,13/05/2017,M.C.G.,19:25:00,57173,Essendon,110,Geelong,93,0,1,0,0,1,0,3,4,82,72,-11.37663922,14.16227618,81.31818182,76.15909091,77.37159091,76.55,76.37386933,74.14763379,18,2,610,695,87.76978417,790,648,121.9135802,12,3,6,7,0,0
2017R806,2017,8,13/05/2017,Adelaide Oval,19:10:00,47882,Adelaide,66,Melbourne,107,0,0,0,0,2,0,2,2,0,7,11.84761905,0.034722222,71.68181818,68.22727273,75.52272727,70.45340909,77.01781746,74.758777,5,11,892,646,138.0804954,685,642,106.6978193,1,10,7,6,0,2
2017R807,2017,8,14/05/2017,M.C.G.,13:10:00,31200,Richmond,70,Fremantle,72,0,0,0,1,4,0,3,1,-140,-247,17.43289474,3.266666667,64.09090909,53.11363636,69.37272727,69.6,68.39354138,70.15516581,13,16,653,596,109.5637584,569,681,83.55359765,6,9,8,7,0,0
2017R808,2017,8,14/05/2017,Jiangwan Stadium,13:15:00,10118,Gold Coast,38,Port Adelaide,110,0,0,1,0,4,4,3,2,269,25,4.937770236,3.445833333,63.84090909,79.52272727,71.79924242,74.04090909,74.82313928,75.54923505,15,10,705,752,93.75,793,561,141.3547237,11,7,8,8,0,0
2017R809,2017,8,14/05/2017,Docklands,16:40:00,21589,North Melbourne,78,Sydney,120,0,0,1,1,2,0,2,1,220,0,4.583333333,-36.21875,79.15909091,79.25,70.9625,74.63181818,70.84659421,75.22907983,8,1,671,693,96.82539683,589,674,87.38872404,14,17,8,7,0,1.2
2017R901,2017,9,19/05/2017,Kardinia Park,19:50:00,30275,Geelong,104,Western Bulldogs,81,0.2,1,0,0,1,0,3,5,-111,-475,-6.594444444,7.342962715,78.29545455,54.5,79.42727273,68.38181818,75.5753972,72.12956935,2,7,883,758,116.4907652,708,657,107.7625571,5,8,6,7,0,0
2017R902,2017,9,20/05/2017,Docklands,13:45:00,29778,St Kilda,68,Sydney,118,0.2,0,1,1,2,0,3,3,47,-34,6.464672711,-0.823427961,70.29545455,82.18181818,75.57613636,75.44545455,76.16781128,75.84496967,9,1,774,699,110.7296137,709,752,94.28191489,6,15,7,6,0,0
2017R903,2017,9,20/05/2017,Sydney Showground,16:35:00,10677,Greater Western Sydney,78,Richmond,75,9.6,1,1,0,2,0,3,6,-51,-3,6.629924242,-18.80293616,62.65909091,71.54545455,71.73181818,75.40681818,75.45967523,73.43238797,4,13,839,696,120.545977,723,668,108.2335329,2,7,7,6,0.2,0
2017R904,2017,9,20/05/2017,Gabba,19:25:00,13802,Brisbane Lions,60,Adelaide,140,3,0,0,0,3,0,3,3,111,269,5.737079627,16.15256115,67.06818182,72.93181818,69.26818182,72.75909091,67.32916703,74.4680745,17,5,638,953,66.94648478,958,753,127.2244356,18,1,7,7,7.2,0
2017R905,2017,9,20/05/2017,M.C.G.,19:25:00,54252,Collingwood,90,Hawthorn,72,0.2,1,0,1,0,0,1,5,19,224,-31.99642857,-12.15349206,75.90909091,81.27272727,80.25,78.36060606,78.67846278,76.48774932,12,3,645,706,91.35977337,668,873,76.51775487,17,14,7,7,0.2,7.2
2017R906,2017,9,21/05/2017,Docklands,13:10:00,36403,Essendon,125,West Coast,64,0,1,1,1,4,0,0,1,0,65,0,-9.03030303,81.31818182,74.97727273,77.08636364,73.5530303,76.6080502,77.14755133,18,6,720,788,91.37055838,752,666,112.9129129,11,3,8,9,0,0
2017R907,2017,9,21/05/2017,M.C.G.,15:20:00,33218,Melbourne,90,North Melbourne,104,0,0,1,0,0,0,0,4,0,-474,0,-19.20996732,68.22727273,76.36363636,70.48636364,75.21363636,75.19793805,74.2805555,11,8,792,708,111.8644068,749,813,92.12792128,10,16,8,7,0,0
