gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage
2018R602,2018,6,2018-04-28,Kardinia Park,1:45 PM,31036,Geelong,69,Sydney,86,0.0,0,True,False,2,0,3,3,-22,503,10.832590612002384,20.84166666666666,73.3409090909091,74.5,73.47878787878788,70.96363636363634,75.14640235915303,71.09114051797874
2018R603,2018,6,2018-04-28,Docklands,2:10 PM,17617,North Melbourne,69,Port Adelaide,102,0.0,0,True,False,2,0,1,2,183,344,59.34375,28.312499999999993,70.36363636363636,61.20454545454545,71.43787878787879,66.8064393939394,70.99019607843137,70.11396979246243
2018R604,2018,6,2018-04-28,Sydney Showground,4:35 PM,10046,Greater Western Sydney,77,Brisbane Lions,43,6.0,2,False,False,0,0,2,2,148,302,46.975,2.010714285714272,62.29545454545455,70.6590909090909,73.25000000000001,73.30909090909091,72.96835877283738,73.19446327773532
2018R605,2018,6,2018-04-28,York Park,7:25 PM,15741,Hawthorn,89,St Kilda,54,0.0,2,False,False,4,4,3,1,-189,-69,11.027495543672018,-21.461538461538453,64.4090909090909,68.52272727272727,74.84772727272725,72.12727272727273,74.73870784407214,72.91423197643117
2018R606,2018,6,2018-04-28,Adelaide Oval,7:10 PM,44835,Adelaide,110,Gold Coast,62,0.0,2,True,True,0,0,2,2,-152,92,-24.895221445221445,-7.102941176470587,82.13636363636364,70.5909090909091,77.05227272727272,69.84886363636366,75.81904872088694,71.50791944983122
2018R607,2018,6,2018-04-29,Docklands,1:10 PM,35964,Essendon,72,Melbourne,108,0.0,0,False,False,0,0,5,5,128,-101,26.16016025641025,5.18595639654464,69.95454545454545,75.20454545454545,67.14696969696969,76.62159090909091,68.65195035764889,75.07854147671996
2018R608,2018,6,2018-04-29,M.C.G.,3:20 PM,72157,Collingwood,70,Richmond,113,0.0,0,True,True,0,0,3,3,-63,3,21.727508439273137,-9.58345588235295,67.0909090909091,68.86363636363636,74.18636363636364,73.56818181818181,74.52170360276978,74.43742133905903
2018R609,2018,6,2018-04-29,Perth Stadium,2:40 PM,56521,Fremantle,81,West Coast,89,0.0,0,True,True,0,0,1,2,-178,-46,6.4375,14.548717948717943,73.86363636363636,70.97727272727273,71.58181818181819,75.42272727272727,72.41699397045319,74.84821395924335
2018R701,2018,7,2018-05-04,Kardinia Park,7:50 PM,25079,Geelong,93,Greater Western Sydney,32,0.4,2,False,True,2,0,2,2,-184,293,29.923295454545453,50.45432692307692,72.52272727272727,63.13636363636363,70.85568181818182,70.7,72.15702969240473,70.47202720320068
2018R702,2018,7,2018-05-05,Eureka Stadium,1:45 PM,6833,Western Bulldogs,81,Gold Coast,72,3.0,2,True,False,0,1,2,5,186,197,44.36477272727273,28.926327561327568,72.70454545454545,64.52272727272727,74.94545454545455,63.096969696969715,72.12278335631048,64.6997435621732
2018R703,2018,7,2018-05-05,M.C.G.,2:10 PM,53018,Essendon,67,Hawthorn,90,2.2,0,False,True,0,0,3,3,-45,-139,-19.624258421317258,-22.88126361655774,73.5,68.75,74.14772727272727,77.98636363636365,74.99231477371958,77.65348181982277
2018R704,2018,7,2018-05-05,Perth Stadium,2:35 PM,50516,West Coast,102,Port Adelaide,60,0.0,2,True,True,3,0,2,2,109,-149,15.032326007326006,-3.9961271367521363,69.0,62.97727272727273,73.48863636363636,67.39431818181818,73.40742953404524,71.49907173501671
2018R705,2018,7,2018-05-05,S.C.G.,7:25 PM,29124,Sydney,66,North Melbourne,68,0.0,0,True,False,2,0,1,3,-38,-55,-15.5,-10.518325791855204,74.52272727272727,73.8409090909091,71.44090909090909,71.2909090909091,72.27344860591765,72.03011725976121
2018R706,2018,7,2018-05-05,Adelaide Oval,7:10 PM,47422,Adelaide,125,Carlton,70,0.2,2,True,False,2,0,3,3,-133,-136,3.149603174603179,0.8002946127946089,83.0,52.36363636363637,76.29999999999997,66.54886363636363,75.90673857338912,67.83293351268301
2018R707,2018,7,2018-05-06,M.C.G.,1:10 PM,43240,Richmond,110,Fremantle,33,0.0,2,True,False,4,0,2,2,306,317,23.344887955182074,17.22596153846154,68.20454545454545,73.97727272727273,72.05227272727272,70.8159090909091,71.87261618455503,70.87642815775557
2018R708,2018,7,2018-05-06,Docklands,3:20 PM,25496,St Kilda,67,Melbourne,106,0.0,0,False,True,0,0,3,1,-56,7,-1.4037037037037123,-5.194444444444429,69.3409090909091,75.18181818181819,72.77272727272727,75.96363636363637,72.86292501787858,75.10526507054178
2018R709,2018,7,2018-05-06,Gabba,4:40 PM,21850,Brisbane Lions,114,Collingwood,121,0.0,0,False,False,3,0,2,4,-152,-92,14.526041666666671,4.354986802413265,66.61363636363636,67.75,71.88863636363638,77.47727272727273,71.50677352081182,77.32860562249458
2018R801,2018,8,2018-05-11,M.C.G.,7:50 PM,32784,Hawthorn,71,Sydney,79,19.6,0,True,False,2,0,2,2,-176,7,4.7765873015873055,7.741567460317462,67.11363636363636,73.68181818181819,77.85909090909092,71.24545454545454,77.35854760291153,71.4662278468006
2018R802,2018,8,2018-05-12,Sydney Showground,1:45 PM,9253,Greater Western Sydney,61,West Coast,86,2.0,0,False,True,4,0,3,4,-53,198,-2.751370851370858,18.21739344354475,63.36363636363637,68.88636363636364,71.3409090909091,70.76818181818182,70.62350380098059,70.45212710084034
2018R803,2018,8,2018-05-12,M.C.G.,2:10 PM,44669,Carlton,91,Essendon,78,8.4,2,False,False,0,0,3,2,27,25,-1.4416146110225085,-5.956638755980862,53.63636363636363,74.04545454545455,67.12727272727273,75.32499999999999,68.21187442607896,74.93859314695139
2018R804,2018,8,2018-05-12,Gabba,4:35 PM,6060,Gold Coast,77,Melbourne,146,0.0,0,False,True,3,0,3,1,14,-7,-2.3529100529100617,-32.2,63.0,77.9090909090909,63.612500000000004,77.64999999999999,65.65597953876346,76.61508444470907
2018R805,2018,8,2018-05-12,Adelaide Oval,4:40 PM,50967,Port Adelaide,95,Adelaide,90,0.0,2,False,True,0,0,4,2,-193,-128,-21.50335374281292,6.3265796703296715,68.11363636363636,80.29545454545455,70.74545454545455,74.81818181818181,75.07349312731472,75.59663430873236
2018R806,2018,8,2018-05-12,Docklands,7:25 PM,20865,Western Bulldogs,107,Brisbane Lions,93,8.4,2,True,False,0,0,2,1,-48,-46,-9.630718954248366,-11.14473684210526,77.5,69.20454545454545,79.1439393939394,72.78863636363639,75.90808588985834,72.54477823625463
2018R807,2018,8,2018-05-12,Perth Stadium,6:10 PM,41752,Fremantle,89,St Kilda,59,0.0,2,False,False,3,0,3,2,-194,-12,14.95913078149919,-24.5169191919192,72.52272727272727,71.38636363636364,67.57727272727273,74.35,68.39018416790547,75.1884570888309
2018R808,2018,8,2018-05-13,Docklands,1:10 PM,29153,North Melbourne,72,Richmond,82,3.7,0,True,True,0,0,2,1,-254,-84,-25.302556818181813,6.23888888888888,76.27272727272727,66.88636363636364,74.99090909090908,71.78181818181817,74.61881487896738,72.47006219067858
2018R809,2018,8,2018-05-13,M.C.G.,3:20 PM,44602,Collingwood,45,Geelong,66,3.7,0,True,True,1,0,2,5,151,-222,37.900375939849624,-1.6655284992785084,62.97727272727273,72.0,73.45454545454545,71.95227272727271,73.77145056369655,73.86524117330038
2018R901,2018,9,2018-05-18,Adelaide Oval,7:20 PM,39407,Adelaide,63,Western Bulldogs,26,4.6,2,False,True,2,0,4,3,188,-371,19.307301988087602,-6.102332144979208,78.29545454545455,79.61363636363636,71.70113636363635,81.37386363636364,71.66158547549801,77.01224994046203
2018R902,2018,9,2018-05-19,Bellerive Oval,1:45 PM,7194,North Melbourne,112,Greater Western Sydney,69,0.0,2,False,False,3,2,0,2,0,233,0.0,28.02506265664161,76.27272727272727,64.43181818181819,74.36363636363636,71.24545454545455,74.21168390003531,70.76511669982064
2018R903,2018,9,2018-05-19,Jiangwan Stadium,1:15 PM,10689,Gold Coast,42,Port Adelaide,82,,0,False,True,4,0,2,0,-28,0,11.995129870129873,0.0,61.93181818181818,68.11363636363636,62.920454545454554,70.60909090909091,64.67311978956715,75.57386159592042
2018R904,2018,9,2018-05-19,M.C.G.,4:35 PM,50228,Essendon,84,Geelong,50,3.6,2,False,True,1,0,5,1,208,-211,24.594992025518337,-43.484962406015036,71.11363636363636,79.29545454545455,69.68636363636364,75.33712121212119,69.44557861367689,75.51317324316551
2018R905,2018,9,2018-05-19,Docklands,7:25 PM,33994,St Kilda,72,Collingwood,100,3.6,0,False,False,0,0,3,3,275,-342,9.038167862838918,-4.082804232804236,67.5,65.75,73.91818181818181,74.7590909090909,73.8197518805623,75.37519198637618
2018R906,2018,9,2018-05-19,S.C.G.,7:25 PM,27481,Sydney,111,Fremantle,52,0.0,2,True,True,4,0,2,2,-401,58,-26.205074337427277,-20.05359477124182,77.3409090909091,70.04545454545455,73.21818181818182,69.01363636363637,74.1401631746736,70.8181302185946
2018R907,2018,9,2018-05-20,M.C.G.,1:10 PM,44142,Carlton,50,Melbourne,159,0.2,0,True,True,0,0,2,2,-77,18,13.501973684210526,-15.176282051282044,54.56818181818182,79.63636363636364,66.61515151515151,78.48939393939395,67.46726719214581,78.44038011010554
2018R908,2018,9,2018-05-20,Gabba,3:20 PM,20628,Brisbane Lions,129,Hawthorn,73,0.0,2,False,False,3,0,0,6,0,312,0.0,10.560033597436842,69.20454545454545,68.4090909090909,73.21363636363638,75.97121212121213,72.66739182768946,74.42468256395308
2018R909,2018,9,2018-05-20,Perth Stadium,2:40 PM,57616,West Coast,130,Richmond,83,0.0,2,True,True,3,0,4,1,-250,-194,-29.69030257936509,-11.174922600619198,71.56818181818181,66.27272727272727,76.25909090909092,72.34545454545454,76.25108280951933,73.37841668565352
2018R1001,2018,10,2018-05-25,Docklands,7:50 PM,37985,Collingwood,90,Western Bulldogs,55,0.0,2,True,False,0,0,3,3,100,45,17.30555555555556,77.40332244008714,51.61363636363637,45.59090909090909,51.61363636363637,45.59090909090909,51.61363636363637,45.59090909090909
2018R1002,2018,10,2018-05-26,M.C.G.,1:45 PM,48850,Richmond,105,St Kilda,77,0.0,2,False,False,0,0,4,5,73,254,45.7734283625731,42.00981240981241,60.13636363636363,53.77272727272727,60.13636363636363,53.77272727272727,60.13636363636363,53.77272727272727
2018R1003,2018,10,2018-05-26,Gabba,4:35 PM,18702,Brisbane Lions,49,Sydney,67,0.0,0,True,True,2,0,0,2,0,136,0.0,61.43125,56.45454545454545,61.93181818181818,56.45454545454545,61.93181818181818,56.45454545454545,61.93181818181818
2018R1004,2018,10,2018-05-26,Kardinia Park,7:25 PM,31090,Geelong,73,Carlton,45,0.0,2,False,False,1,0,5,4,275,173,33.58333333333332,1.063888888888897,53.09090909090909,51.29545454545455,53.09090909090909,51.29545454545455,53.09090909090909,51.29545454545455
2018R1005,2018,10,2018-05-26,Sydney Showground,7:25 PM,10789,Greater Western Sydney,60,Essendon,95,0.0,0,False,True,2,0,4,1,-149,-28,4.09401709401709,-97.0,65.63636363636364,55.5,65.63636363636364,55.5,65.63636363636364,55.5
2018R1006,2018,10,2018-05-27,Docklands,1:10 PM,28077,Hawthorn,60,West Coast,75,0.0,0,False,True,4,0,3,0,-264,0,7.511574074074076,0.0,64.97727272727273,57.97727272727273,64.97727272727273,57.97727272727273,64.97727272727273,57.97727272727273
2018R1007,2018,10,2018-05-27,Traeger Park,2:50 PM,6989,Melbourne,146,Adelaide,55,0.0,2,True,True,3,4,0,3,0,-48,0.0,9.196825396825403,54.65909090909091,55.79545454545455,54.65909090909091,55.79545454545455,54.65909090909091,55.79545454545455
2018R1008,2018,10,2018-05-27,Perth Stadium,2:40 PM,37575,Fremantle,58,North Melbourne,86,4.2,0,False,True,3,0,2,1,-441,29,26.54017857142857,72.29411764705883,54.68181818181818,59.31818181818182,54.68181818181818,59.31818181818182,54.68181818181818,59.31818181818182
2018R1101,2018,11,2018-06-01,S.C.G.,7:50 PM,27351,Sydney,91,Carlton,61,0.8,2,True,False,2,0,2,1,-73,-25,2.25,-28.5,67.63636363636364,68.6590909090909,69.52272727272727,68.2159090909091,69.52272727272727,68.2159090909091
