gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2019R601,2019,6,24/04/2019,M.C.G.,7:35 PM,72704,Richmond,85,Melbourne,42,0,2,1,0,0,0,1,5,-241,-73,5.902777778,-4.292867965,68.31818182,75.68181818,74.53181818,70.98939394,73.17065192,72.20278875,1,5,427,458,93.23144105,374,516,72.48062016,10,17
2019R602,2019,6,25/04/2019,M.C.G.,3:20 PM,92241,Essendon,69,Collingwood,73,0,0,1,1,0,0,2,2,-262,-72,-31.33854167,-0.815268065,68.34090909,79.77272727,70.23977273,82.25454545,72.99587675,80.34116808,11,3,463,423,109.4562648,452,361,125.2077562,7,4
2019R603,2019,6,26/04/2019,Adelaide Oval,7:20 PM,36099,Port Adelaide,88,North Melbourne,72,0.2,2,1,0,2,0,1,4,119,92,-12.33333333,15.23400971,73.47727273,66.13636364,75.55606061,70.41363636,78.26935643,71.24587351,10,9,452,392,115.3061224,346,510,67.84313725,5,18
2019R604,2019,6,27/04/2019,Carrara,1:45 PM,13694,Gold Coast,62,Brisbane Lions,111,0,0,0,0,0,0,1,4,4,24,12.17692308,14.15186584,67.13636364,70.38636364,66.95454545,73.83333333,68.6528383,71.99065632,17,15,323,387,83.4625323,442,470,94.04255319,11,9
2019R605,2019,6,27/04/2019,Docklands,4:35 PM,28404,St Kilda,68,Adelaide,97,4,0,1,1,2,0,2,2,99,276,65.47585227,16.72569444,58.63636364,65.54545455,65.94090909,73.48333333,67.04336658,75.34882677,16,12,396,344,115.1162791,396,365,108.4931507,2,12
2019R606,2019,6,27/04/2019,S.C.G.,7:25 PM,29780,Sydney,79,Greater Western Sydney,120,0,0,0,0,0,0,2,2,517,-55,10.5936903,-9.705208333,72.81818182,80.61363636,74.70454545,79.61818182,76.335951,79.08185644,6,7,365,433,84.29561201,450,401,112.2194514,16,6
2019R607,2019,6,27/04/2019,Perth Stadium,6:10 PM,43732,Fremantle,88,Western Bulldogs,69,0,2,1,0,3,0,2,1,-35,-136,12.51666667,8.208333333,60.70454545,72.43181818,71.84090909,76.01818182,72.14947361,74.86203526,14,13,432,337,128.189911,377,404,93.31683168,3,14
2019R608,2019,6,28/04/2019,York Park,3:20 PM,15888,Hawthorn,93,Carlton,88,0,2,0,1,4,4,3,1,-362,-2,-5.21474359,-27.08333333,68.93181818,59.79545455,74.94090909,72.60909091,74.21039843,73.33410449,4,18,420,419,100.2386635,368,394,93.40101523,13,15
2019R609,2019,6,28/04/2019,Kardinia Park,4:40 PM,28085,Geelong,104,West Coast,46,0,2,1,0,4,0,2,2,-130,234,-6.341346154,25.55147059,75.75,67.88636364,73.53409091,69.05227273,74.99781877,70.61015292,8,2,485,355,136.6197183,382,381,100.2624672,1,8
2019R701,2019,7,3/05/2019,Docklands,7:50 PM,37559,Collingwood,108,Port Adelaide,69,0.2,2,1,1,2,0,2,1,22,160,-3.588369963,6.599206349,79.72727273,75.13636364,82.67272727,75.78295455,80.535938,77.7677639,3,10,525,430,122.0930233,540,464,116.3793103,3,5
2019R702,2019,7,4/05/2019,M.C.G.,1:45 PM,40864,Melbourne,79,Hawthorn,74,0.4,2,0,1,0,0,3,2,37,-340,34.1462963,4.383531746,71.88636364,69.31818182,67.59772727,74.97159091,67.63405367,73.93226845,5,4,416,601,69.21797005,513,507,101.183432,18,11
2019R703,2019,7,4/05/2019,Manuka Oval,1:45 PM,12633,Greater Western Sydney,114,St Kilda,70,0,2,1,0,2,1,2,4,219,418,53.93858225,-22.84907617,74.61363636,61.25,74.9344697,69.40530303,74.66415657,71.33460077,7,16,570,480,118.75,464,441,105.2154195,4,6
2019R704,2019,7,4/05/2019,Gabba,4:35 PM,20075,Brisbane Lions,103,Sydney,81,0,2,1,0,2,0,0,3,0,-240,0,4.5625,73.68181818,72.25,77.01022727,73.27727273,75.42783213,75.25256785,15,6,553,532,103.9473684,444,553,80.28933092,7,16
2019R705,2019,7,4/05/2019,Docklands,7:25 PM,36151,Western Bulldogs,99,Richmond,52,0.4,2,0,1,0,0,0,2,0,318,0,4.426415598,72.43181818,65.27272727,75.70909091,73.68939394,74.55551813,73.0698327,13,1,446,492,90.6504065,512,500,102.4,14,8
2019R706,2019,7,4/05/2019,Perth Stadium,6:10 PM,47497,West Coast,80,Gold Coast,57,2,2,0,0,0,0,2,3,-169,-17,-15.21701389,7.653174603,67.45454545,61.06818182,70.07727273,65.15454545,70.80954532,67.66464571,2,17,428,485,88.24742268,385,498,77.30923695,12,13
2019R707,2019,7,5/05/2019,Docklands,1:10 PM,42430,Carlton,62,North Melbourne,120,2.2,0,0,0,0,0,4,4,472,-103,27.04627797,-7.45291514,53.75,70.29545455,67.40227273,72.21136364,68.5003763,72.43153295,18,9,456,487,93.63449692,418,598,69.89966555,15,17
2019R708,2019,7,5/05/2019,M.C.G.,3:20 PM,63527,Geelong,86,Essendon,54,2.2,2,1,0,0,1,3,2,389,116,32.90542328,-0.934615385,72.47727273,70.61363636,69.11818182,71.17272727,71.40349358,73.8287786,8,11,589,401,146.882793,532,496,107.2580645,1,10
