year,round,player,team,score
2012,1,Peter Yagmoor,Magpies,8
2012,1,Farren Ray,Saints,2
2012,2,Gary Ablett,Suns,143
2012,2,Shannon Hurn,Eagles,141
2012,2,Brendon Goddard,Saints,141
2012,2,Brett Deledio,Tigers,140
2012,2,Jobe Watson,Bombers,139
2012,2,Alex Rance,Tigers,138
2012,2,Ryan Bastinac,Kangaroos,138
2012,2,Josh Kennedy Injured,Swans,136
2012,2,Chris Judd,Blues,136
2012,2,Scott Selwood,Eagles,131
2012,2,Jarrad Waite,Blues,131
2012,2,Nick Riewoldt,Saints,126
2012,2,Tom Hawkins,Cats,125
2012,2,Leigh Adams,Kangaroos,125
2012,2,Matthew Boyd,Bulldogs,125
2012,2,Aaron Sandilands,Dockers,124
2012,2,Luke Shuey,Eagles,123
2012,2,Scott Pendlebury,Magpies,122
2012,2,Liam Anthony,Kangaroos,121
2012,2,Sam Mitchell,Hawks,121
2012,2,Bachar Houli,Tigers,121
2012,2,Kade Simpson,Blues,119
2012,2,Chris Newman,Tigers,119
2012,2,Brendan Whitecross,Hawks,118
2012,2,Chad Cornes,Giants,117
2012,2,Andrew Gaff,Eagles,117
2012,2,Dane Swan,Magpies,116
2012,2,Brent Stanton,Bombers,116
2012,2,Marc Murphy,Blues,115
2012,2,Jimmy Bartel,Cats,114
2012,2,Daniel Wells,Kangaroos,113
2012,2,Chris Masten,Eagles,113
2012,2,Patrick Ryder,Bombers,112
2012,2,Brent Harvey,Kangaroos,110
2012,2,David Armitage,Saints,109
2012,2,Scott Thompson,Crows,109
2012,2,Angus Monfries,Bombers,108
2012,2,Jack Darling,Eagles,108
2012,2,Robert Murphy,Bulldogs,108
2012,2,Toby Greene,Giants,107
2012,2,Dean Cox,Eagles,106
2012,2,Hamish McIntosh,Kangaroos,106
2012,2,James Magner,Demons,106
2012,2,Josh Hill,Eagles,105
2012,2,Heath Scotland,Blues,105
2012,2,Jack Redden,Lions,105
2012,2,Rory Sloane,Crows,105
2012,2,Aaron Edwards,Kangaroos,105
2012,2,Jonathan Giles,Giants,104
2012,2,Sam Fisher,Saints,104
2012,2,Beau Waters,Eagles,103
2012,2,Tom Lynch,Crows,103
2012,2,Ryan Griffen,Bulldogs,103
2012,2,Callan Ward,Giants,103
2012,2,Liam Picken,Bulldogs,103
2012,2,Mitch Robinson,Blues,102
2012,2,Daniel Cross,Bulldogs,102
2012,2,Nathan Van Berlo,Crows,102
2012,2,Joel Selwood,Cats,102
2012,2,Leigh Montagna,Saints,102
2012,2,Shaun Burgoyne,Hawks,102
2012,2,David Swallow,Suns,102
2012,2,Shaun Grigg,Tigers,102
2012,2,Kane Cornes,Power,101
2012,2,Steve Johnson,Cats,101
2012,2,Jack Steven,Saints,99
2012,2,Matthew Leuenberger,Lions,99
2012,2,Ryan Crowley,Dockers,99
2012,2,Andrew Carrazzo,Blues,98
2012,2,Ben Cunnington,Kangaroos,98
2012,2,Michael Firrito,Kangaroos,98
2012,2,Rhys Stanley,Saints,98
2012,2,Adam Selwood,Eagles,98
2012,2,Dylan Grimes,Tigers,98
2012,2,Matthew Priddis,Eagles,97
2012,2,Alex Johnson,Swans,97
2012,2,Shane Tuck,Tigers,96
2012,2,Ben Howlett,Bombers,96
2012,2,Brent Reilly,Crows,95
2012,2,Clancee Pearce,Dockers,95
2012,2,Taylor Walker,Crows,95
2012,2,Clinton Jones,Saints,95
2012,2,Daniel Rich,Lions,94
2012,2,Andrew Swallow,Kangaroos,94
2012,2,Courtenay Dempsey,Bombers,94
2012,2,Matthew Kreuzer,Blues,94
2012,2,Travis Cloke,Magpies,94
2012,2,Brian Lake,Bulldogs,93
2012,2,Ryan Hargrave,Bulldogs,93
2012,2,Paul Chapman,Cats,93
2012,2,Michael Johnson,Dockers,93
2012,2,Bernie Vince,Crows,93
2012,2,Nathan Jones,Demons,92
2012,2,Drew Petrie,Kangaroos,92
2012,2,Christopher Yarran,Blues,91
2012,2,Paul Bower,Blues,91
2012,2,Jake Batchelor,Tigers,91
2012,2,David Zaharakis,Bombers,91
2012,2,Nick Dal Santo,Saints,91
2012,2,Matthew De Boer,Dockers,90
2012,2,Nick Malceski,Swans,90
2012,2,Leroy Jetta,Bombers,89
2012,2,Lenny Hayes,Saints,89
2012,2,Jay Schulz,Power,89
2012,2,Trent Cotchin,Tigers,88
2012,2,Michael Doughty,Crows,88
2012,2,Tendai Mzungu,Dockers,88
2012,2,Ben McEvoy,Saints,88
2012,2,David MacKay,Crows,88
2012,2,Jarryd Blair,Magpies,87
2012,2,Dyson Heppell,Bombers,87
2012,2,Tom Scully,Giants,87
2012,2,Matthew Rosa,Eagles,87
2012,2,Jordan Lewis,Hawks,86
2012,2,Luke Ball,Magpies,86
2012,2,Jarrad McVeigh,Swans,85
2012,2,Dale Thomas,Magpies,85
2012,2,James Podsiadly,Cats,85
2012,2,Shaun Higgins,Bulldogs,85
2012,2,Nathan Fyfe,Dockers,85
2012,2,Steele Sidebottom,Magpies,85
2012,2,Terry Milera,Saints,85
2012,2,Stewart Crameri,Bombers,85
2012,2,Reece Conca,Tigers,85
2012,2,Jeremy Howe,Demons,85
2012,2,Justin Westhoff,Power,85
2012,2,Eddie Betts,Blues,84
2012,2,Jared Brennan,Suns,84
2012,2,Heritier Lumumba,Magpies,84
2012,2,Jason Porplyzia,Crows,83
2012,2,Isaac Smith,Hawks,83
2012,2,Michael Hurley,Bombers,83
2012,2,Matthew Broadbent,Power,82
2012,2,Craig Bird,Swans,82
2012,2,Daniel Kerr,Eagles,82
2012,2,Domenic Cassisi,Power,82
2012,2,Brad Ebert,Power,82
2012,2,Darren Glass,Eagles,81
2012,2,Adam Goodes,Swans,81
2012,2,Kieran Harper,Kangaroos,81
2012,2,James Kelly,Cats,80
2012,2,Dion Prestia,Suns,80
2012,2,Jarryn Geary,Saints,80
2012,2,Jeremy Cameron,Giants,80
2012,2,Grant Birchall,Hawks,80
2012,2,Nicholas Naitanui,Eagles,79
2012,2,Christopher Mayne,Dockers,79
2012,2,Brandon Matera,Suns,78
2012,2,Daniel Giansiracusa,Bulldogs,78
2012,2,Patrick Dangerfield,Crows,78
2012,2,Scott Thompson,Kangaroos,78
2012,2,Ben McGlynn,Swans,77
2012,2,Steven Morris,Tigers,77
2012,2,Quinten Lynch,Eagles,77
2012,2,Adam Cooney,Bulldogs,77
2012,2,Josh Gibson,Hawks,77
2012,2,Justin Koschitzke,Saints,76
2012,2,Nathan Djerrkura,Bulldogs,76
2012,2,Sam Jacobs,Crows,76
2012,2,Jason Blake,Saints,76
2012,2,Zachary Clarke,Dockers,76
2012,2,Dustin Martin,Tigers,75
2012,2,John McCarthy,Power,75
2012,2,Sam Gilbert,Saints,75
2012,2,Samuel Wright,Kangaroos,75
2012,2,Lukas Markovic,Bulldogs,75
2012,2,Dayne Beams,Magpies,74
2012,2,Kurt Tippett,Crows,74
2012,2,Sean Dempster,Saints,74
2012,2,Alex Fasolo,Magpies,73
2012,2,Jackson Trengove,Power,73
2012,2,Jamie MacMillan,Kangaroos,73
2012,2,Joel Corey,Cats,73
2012,2,Matthew Pavlich,Dockers,73
2012,2,Daniel Merrett,Lions,72
2012,2,Nathan Foley,Tigers,72
2012,2,Devon Smith,Giants,72
2012,2,Lewis Jetta,Swans,72
2012,2,Adam Kennedy,Giants,72
2012,2,Kieren Jack,Swans,72
2012,2,Edward Curnow,Blues,72
2012,2,Luke Dahlhaus,Bulldogs,72
2012,2,Lance Franklin,Hawks,72
2012,2,Matthew Suckling,Hawks,71
2012,2,Heath Grundy,Swans,71
2012,2,Cyril Rioli,Hawks,71
