gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2016R308,2016,3,10-Apr-16,Docklands,3:20 PM,46808,Western Bulldogs,90,Hawthorn,93,0.0
2016R309,2016,3,10-Apr-16,Kardinia Park,4:40 PM,23320,Geelong,125,Brisbane Lions,56,0.0
2016R401,2016,4,15-Apr-16,Subiaco,6:10 PM,38860,West Coast,125,Richmond,57,0.0
2016R402,2016,4,16-Apr-16,M.C.G.,1:45 PM,42723,Essendon,42,Geelong,72,0.0
2016R403,2016,4,16-Apr-16,York Park,2:10 PM,17052,Hawthorn,87,St Kilda,84,0.0
2016R404,2016,4,16-Apr-16,Gabba,4:35 PM,20041,Brisbane Lions,107,Gold Coast,94,0.4
2016R405,2016,4,16-Apr-16,Docklands,7:25 PM,27622,Carlton,49,Western Bulldogs,85,0.0
2016R406,2016,4,16-Apr-16,Adelaide Oval,7:10 PM,50369,Adelaide,113,Sydney,103,0.0
2016R407,2016,4,17-Apr-16,Manuka Oval,1:10 PM,10028,Greater Western Sydney,151,Port Adelaide,65,nan
2016R408,2016,4,17-Apr-16,M.C.G.,3:20 PM,47558,Collingwood,67,Melbourne,102,0.0
2016R409,2016,4,17-Apr-16,Docklands,4:40 PM,23393,North Melbourne,132,Fremantle,101,0.0
2016R501,2016,5,22-Apr-16,M.C.G.,7:50 PM,45781,Hawthorn,112,Adelaide,109,21.0
2016R502,2016,5,23-Apr-16,S.C.G.,1:45 PM,35427,Sydney,88,West Coast,49,4.2
2016R503,2016,5,23-Apr-16,Carrara,4:35 PM,13351,Gold Coast,81,North Melbourne,119,0.0
2016R504,2016,5,23-Apr-16,Docklands,7:25 PM,25097,Western Bulldogs,120,Brisbane Lions,67,0.0
2016R505,2016,5,23-Apr-16,Adelaide Oval,7:15 PM,43984,Port Adelaide,59,Geelong,107,0.0
2016R506,2016,5,24-Apr-16,Docklands,1:10 PM,21052,St Kilda,79,Greater Western Sydney,126,0.0
2016R507,2016,5,24-Apr-16,Subiaco,2:15 PM,34796,Fremantle,68,Carlton,72,0.0
2016R508,2016,5,24-Apr-16,M.C.G.,7:10 PM,60867,Melbourne,129,Richmond,96,0.0
2016R509,2016,5,25-Apr-16,M.C.G.,3:20 PM,85082,Collingwood,142,Essendon,73,0.0
2016R601,2016,6,29-Apr-16,Docklands,7:50 PM,47622,North Melbourne,61,Western Bulldogs,45,0.2
2016R602,2016,6,30-Apr-16,Docklands,1:45 PM,27260,Melbourne,96,St Kilda,135,8.5
2016R603,2016,6,30-Apr-16,Adelaide Oval,1:40 PM,46431,Adelaide,97,Fremantle,64,0.0
2016R604,2016,6,30-Apr-16,Sydney Showground,4:35 PM,13766,Greater Western Sydney,158,Hawthorn,83,0.2
2016R605,2016,6,30-Apr-16,Kardinia Park,7:25 PM,23007,Geelong,168,Gold Coast,48,7.8
2016R606,2016,6,30-Apr-16,M.C.G.,7:25 PM,27077,Richmond,59,Port Adelaide,94,8.5
2016R607,2016,6,1-May-16,Gabba,1:10 PM,14646,Brisbane Lions,94,Sydney,97,1.4
2016R608,2016,6,1-May-16,M.C.G.,3:20 PM,43827,Carlton,72,Essendon,57,9.8
2016R609,2016,6,1-May-16,Subiaco,2:40 PM,37931,West Coast,124,Collingwood,62,0.0
2016R701,2016,7,6-May-16,M.C.G.,7:50 PM,49678,Richmond,90,Hawthorn,136,nan
2016R702,2016,7,7-May-16,M.C.G.,1:45 PM,60222,Collingwood,84,Carlton,99,0.6
2016R703,2016,7,7-May-16,Kardinia Park,2:10 PM,25429,Geelong,123,West Coast,79,0.0
2016R704,2016,7,7-May-16,S.C.G.,4:35 PM,29527,Sydney,135,Essendon,54,0.0
2016R705,2016,7,7-May-16,Carrara,5:10 PM,12780,Gold Coast,87,Melbourne,160,0.0
2016R706,2016,7,7-May-16,Docklands,7:40 PM,26984,Western Bulldogs,123,Adelaide,108,0.6
2016R707,2016,7,7-May-16,Subiaco,6:10 PM,28201,Fremantle,77,Greater Western Sydney,95,18.0
2016R708,2016,7,8-May-16,Docklands,3:20 PM,27254,St Kilda,75,North Melbourne,82,6.8
2016R709,2016,7,8-May-16,Adelaide Oval,4:10 PM,31544,Port Adelaide,136,Brisbane Lions,59,0.4
2016R801,2016,8,13-May-16,Adelaide Oval,7:20 PM,53141,Adelaide,72,Geelong,98,0.4
2016R802,2016,8,14-May-16,Docklands,1:45 PM,30321,Essendon,60,North Melbourne,74,0.2
2016R803,2016,8,14-May-16,York Park,2:10 PM,12012,Hawthorn,116,Fremantle,75,0.0
2016R804,2016,8,14-May-16,Sydney Showground,4:35 PM,8308,Greater Western Sydney,149,Gold Coast,58,0.0
2016R805,2016,8,14-May-16,Gabba,7:25 PM,24552,Brisbane Lions,65,Collingwood,143,0.0
2016R806,2016,8,14-May-16,M.C.G.,7:25 PM,36014,Richmond,101,Sydney,100,0.2
2016R807,2016,8,15-May-16,Docklands,1:10 PM,26924,Carlton,93,Port Adelaide,91,0.0
2016R808,2016,8,15-May-16,M.C.G.,3:20 PM,39921,Melbourne,82,Western Bulldogs,114,0.0
2016R809,2016,8,15-May-16,Subiaco,2:40 PM,36140,West Coast,132,St Kilda,29,0.0
