year,round,displayName,team,score
2017,1,jacob weitering,Carlton,75
2017,1,james kelly,Essendon,74
2017,1,david armitage,St Kilda,74
2017,1,billy hartung,Hawthorn,74
2017,1,brent stanton,Essendon,74
2017,1,rory lobb,Greater Western Sydney,74
2017,1,tom lynch,Adelaide,74
2017,1,jack lonie,St Kilda,74
2017,1,trent dumont,North Melbourne,74
2017,1,jackson trengove,Port Adelaide,74
2017,1,jarryd roughead,Hawthorn,73
2017,1,josh caddy,Richmond,73
2017,1,jackson ramsay,Collingwood,73
2017,1,kade kolodjashnij,Gold Coast,73
2017,1,toby greene,Greater Western Sydney,72
2017,1,robert murphy,Western Bulldogs,72
2017,1,benjamin griffiths,Richmond,72
2017,1,dan houston,Port Adelaide,72
2017,1,sam rowe,Carlton,72
2017,1,kieren jack,Sydney,72
2017,1,reece conca,Richmond,71
2017,1,jaeger omeara,Hawthorn,71
2017,1,jack hombsch,Port Adelaide,71
2017,1,shaun atley,North Melbourne,71
2017,1,luke breust,Hawthorn,71
2017,1,dylan roberton,St Kilda,70
2017,1,ryan bastinac,Brisbane Lions,70
2017,1,tyrone vickery,Hawthorn,70
2017,1,jeff garlett,Melbourne,70
2017,1,paul puopolo,Hawthorn,69
2017,1,jesse white,Collingwood,69
2017,1,stewart crameri,Western Bulldogs,69
2017,1,shane mumford,Greater Western Sydney,69
2017,1,darcy gardiner,Brisbane Lions,69
2017,1,jesse joyce,Gold Coast,69
2017,1,grant birchall,Hawthorn,69
2017,1,rory thompson,Gold Coast,68
2017,1,jack gunston,Hawthorn,68
2017,1,justin westhoff,Port Adelaide,68
2017,1,jordan murdoch,Geelong,68
2017,1,lin jong,Western Bulldogs,67
2017,1,jack newnes,St Kilda,67
2017,1,darcy byrne-jones,Port Adelaide,67
2017,1,jeremy laidler,Sydney,67
2017,1,tim membrey,St Kilda,66
2017,1,patrick ambrose,Essendon,66
2017,1,jake carlisle,St Kilda,66
2017,1,devon smith,Greater Western Sydney,65
2017,1,mitch robinson,Brisbane Lions,65
2017,1,shane savage,St Kilda,65
2017,1,travis cloke,Western Bulldogs,65
2017,1,jack bowes,Gold Coast,64
2017,1,dale morris,Western Bulldogs,64
2017,1,jade gresham,St Kilda,64
2017,1,josh bruce,St Kilda,64
2017,1,daniel rioli,Richmond,64
2017,1,jamie macmillan,North Melbourne,64
2017,1,jarryd blair,Collingwood,64
2017,1,easton wood,Western Bulldogs,63
2017,1,ricky henderson,Hawthorn,63
2017,1,ryan lester,Brisbane Lions,63
2017,1,michael hartley,Essendon,63
2017,1,george horlin-smith,Geelong,63
2017,1,dylan grimes,Richmond,63
2017,1,daniel rich,Brisbane Lions,63
2017,1,christian salem,Melbourne,63
2017,1,christopher mayne,Collingwood,62
2017,1,luke dunstan,St Kilda,62
2017,1,josh smith,Collingwood,62
2017,1,peter wright,Gold Coast,62
2017,1,caleb daniel,Western Bulldogs,62
2017,1,josh cowan,Geelong,61
2017,1,dane rampe,Sydney,61
2017,1,tom clurey,Port Adelaide,61
2017,1,travis colyer,Essendon,61
2017,1,ryan schoenmakers,Hawthorn,60
2017,1,mark hutchings,West Coast,60
2017,1,ben keays,Brisbane Lions,60
2017,1,nick haynes,Greater Western Sydney,60
2017,1,adam tomlinson,Greater Western Sydney,60
2017,1,travis varcoe,Collingwood,59
2017,1,james frawley,Hawthorn,59
2017,1,josh hill,West Coast,59
2017,1,sam jacobs,Adelaide,59
2017,1,joshua green,Essendon,59
2017,1,shaun burgoyne,Hawthorn,59
2017,1,alex rance,Richmond,59
2017,1,toby mclean,Western Bulldogs,59
2017,1,sam petrevski-seton,Carlton,59
2017,1,nicholas suban,Fremantle,59
2017,1,zaine cordy,Western Bulldogs,59
2017,1,robbie tarrant,North Melbourne,59
2017,1,nakia cockatoo,Geelong,59
2017,1,anthony mcdonald-tipungwuti,Essendon,58
2017,1,jack silvagni,Carlton,58
2017,1,luke mcdonald,North Melbourne,58
2017,1,jack darling,West Coast,58
2017,1,david astbury,Richmond,58
2017,1,shane biggs,Western Bulldogs,58
2017,1,fletcher roberts,Western Bulldogs,58
2017,1,lindsay thomas,North Melbourne,58
2017,1,jack martin,Gold Coast,58
2017,1,matthew buntine,Greater Western Sydney,57
2017,1,kyle hartigan,Adelaide,57
2017,1,thomas stewart,Geelong,57
2017,1,steve johnson,Greater Western Sydney,56
2017,1,pearce hanley,Gold Coast,56
2017,1,kayne turner,North Melbourne,56
2017,1,nathan brown,St Kilda,56
2017,1,billie smedts,Carlton,55
2017,1,sam weideman,Melbourne,54
2017,1,edward curnow,Carlton,54
2017,1,levi casboult,Carlton,54
2017,1,maverick weller,St Kilda,54
2017,1,karl amon,Port Adelaide,53
2017,1,alex sexton,Gold Coast,53
2017,1,daniel hannebery,Sydney,52
2017,1,ryan griffen,Greater Western Sydney,52
2017,1,mark blicavs,Geelong,52
2017,1,jack crisp,Collingwood,52
2017,1,harry cunningham,Sydney,52
2017,1,dale thomas,Carlton,51
2017,1,jake stringer,Western Bulldogs,51
2017,1,nathan vardy,West Coast,51
2017,1,sean lemmens,Gold Coast,50
2017,1,patrick cripps,Carlton,50
2017,1,kamdyn mcintosh,Richmond,50
2017,1,curtly hampton,Adelaide,50
2017,1,nick smith,Sydney,49
2017,1,kyle langford,Essendon,49
2017,1,sam gilbert,St Kilda,49
2017,1,matthew rosa,Gold Coast,49
2017,1,drew petrie,West Coast,49
2017,1,simon white,Carlton,49
2017,1,bradley hill,Fremantle,48
2017,1,harry taylor,Geelong,48
2017,1,matthew kennedy,Greater Western Sydney,48
2017,1,joshua schoenfeld,Gold Coast,47
2017,1,jonathon patton,Greater Western Sydney,47
2017,1,michael walters,Fremantle,47
2017,1,tom bell,Brisbane Lions,47
2017,1,callum ah chee,Gold Coast,46
2017,1,nathan hrovat,North Melbourne,46
2017,1,jake barrett,Brisbane Lions,46
2017,1,andy otten,Adelaide,45
2017,1,michael close,Brisbane Lions,45
2017,1,nicholas robertson,Brisbane Lions,45
2017,1,daniel mcstay,Brisbane Lions,44
2017,1,oliver florent,Sydney,44
2017,1,ben reid,Collingwood,44
2017,1,jake melksham,Melbourne,44
2017,1,tom hickey,St Kilda,44
2017,1,tom lonergan,Geelong,44
2017,1,brandan parfitt,Geelong,44
2017,1,braydon preuss,North Melbourne,44
