gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs,Supercoach
2016R1601,Port Adelaide,2016,16,2013773804,Kane Mitchell,33,17,5,3,12,0,0,0,0,0,1,0,5,0,3,0,2,15,0,0,1,0,0,93,nan,22
2016R1601,Port Adelaide,2016,16,2013788331,Jake Neade,49,8,3,2,5,0,0,0,1,0,3,0,4,1,2,0,4,6,0,0,1,0,0,85,nan,20
2016R1601,Port Adelaide,2016,16,2011797972,Cameron OShea,79,12,7,2,5,0,0,0,2,0,1,0,5,2,5,0,4,7,0,0,1,0,0,76,nan,0
2016R1601,Port Adelaide,2016,16,2011802211,Jasper Pittard,91,20,15,3,5,0,1,0,1,5,1,1,1,1,0,0,4,12,0,0,6,0,1,93,nan,93
2016R1601,Port Adelaide,2016,16,2003832712,Jay Schulz,190,7,3,3,4,2,0,0,0,0,0,0,1,0,1,0,5,2,1,2,1,0,1,87,nan,63
2016R1601,Port Adelaide,2016,16,2010846795,Jackson Trengove,127,14,6,2,8,0,0,15,4,0,1,4,5,1,2,0,10,5,0,0,6,0,0,83,nan,65
2016R1601,Port Adelaide,2016,16,2007874401,Justin Westhoff,196,17,11,4,6,1,0,3,3,2,0,2,4,2,2,0,6,11,0,0,3,0,0,93,nan,83
2016R1601,Port Adelaide,2016,16,2013873126,Ollie Wines,77,25,10,2,15,2,0,6,3,1,6,3,4,0,0,0,10,16,0,0,1,0,1,77,nan,0
2016R1601,Port Adelaide,2016,16,2012874810,Chad Wingard,102,14,6,1,8,3,1,0,0,0,1,3,2,0,1,0,8,7,0,0,2,0,0,98,nan,77
2016R1601,Port Adelaide,2016,16,2012895734,Aaron Young,56,14,7,2,7,0,0,0,4,0,3,0,1,2,0,0,7,7,1,0,1,1,1,82,nan,74
2016R1704,Port Adelaide,2016,17,2015654090,Brendon Ah Chee,19,19,6,4,13,1,0,2,2,0,1,4,1,1,1,0,8,11,0,0,3,0,0,68,nan,75
2016R1704,Port Adelaide,2016,17,2015653134,Karl Amon,17,16,9,3,7,0,0,0,2,3,3,3,2,0,0,0,9,7,1,0,0,1,1,75,nan,69
2016R1704,Port Adelaide,2016,17,2016652024,Logan Austin,6,5,3,0,2,0,0,0,2,1,0,1,2,0,2,0,2,4,0,0,7,0,0,91,nan,36
2016R1704,Port Adelaide,2016,17,2007664906,Travis Boak,193,32,8,4,24,1,0,0,7,0,5,3,2,1,0,2,9,23,0,0,0,0,1,85,nan,128
2016R1704,Port Adelaide,2016,17,2009666472,Matthew Broadbent,140,15,11,3,4,0,0,0,1,4,2,0,1,0,0,0,4,10,0,0,2,2,0,84,nan,80
2016R1704,Port Adelaide,2016,17,2016664470,Darcy Byrne-Jones,14,13,10,3,3,0,0,0,2,3,0,1,2,1,0,0,5,8,0,0,3,0,0,87,nan,54
2016R1704,Port Adelaide,2016,17,2014672868,Tom Clurey,12,10,7,6,3,0,0,0,1,3,0,0,1,0,0,0,1,9,0,0,12,0,0,97,nan,56
2016R1704,Port Adelaide,2016,17,2011685707,Charlie Dixon,81,5,4,2,1,0,0,0,2,0,2,0,3,1,2,0,3,2,1,1,2,1,0,71,nan,31
2016R1704,Port Adelaide,2016,17,2007719318,Robbie Gray,149,35,14,6,21,2,1,0,2,1,5,5,6,2,1,3,11,25,0,3,0,0,1,86,nan,111
2016R1704,Port Adelaide,2016,17,2014711121,Sam Gray,28,14,5,3,9,1,0,0,5,2,1,1,1,1,0,0,7,8,1,1,1,0,0,64,nan,87
2016R1704,Port Adelaide,2016,17,2009724069,Hamish Hartlett,126,21,13,6,8,0,0,0,3,1,5,0,4,0,4,0,6,16,1,0,4,1,0,77,nan,84
2016R1704,Port Adelaide,2016,17,2014738925,Jarman Impey,49,12,5,2,7,0,1,0,2,2,1,2,3,1,0,0,4,8,0,1,1,2,1,79,nan,43
2016R1704,Port Adelaide,2016,17,2013773804,Kane Mitchell,34,16,7,2,9,0,0,0,5,1,1,2,0,1,0,0,5,11,0,0,1,0,0,90,nan,72
2016R1704,Port Adelaide,2016,17,2013788331,Jake Neade,50,7,3,0,4,1,0,0,4,0,1,0,0,0,0,0,4,4,0,0,1,1,1,69,nan,55
2016R1704,Port Adelaide,2016,17,2011802211,Jasper Pittard,92,20,13,4,7,0,0,0,1,5,1,0,4,0,1,0,3,12,1,0,4,2,0,85,nan,73
2016R1704,Port Adelaide,2016,17,2003832712,Jay Schulz,191,10,7,5,3,3,1,0,3,0,1,0,3,2,2,0,6,4,2,1,2,0,0,80,nan,83
2016R1704,Port Adelaide,2016,17,2008831528,Paul Stewart,98,12,7,3,5,0,0,0,2,3,0,0,5,1,2,0,5,7,1,0,4,0,0,85,nan,44
2016R1704,Port Adelaide,2016,17,2010846795,Jackson Trengove,128,22,7,4,15,0,0,15,6,0,2,7,6,1,5,0,11,11,0,0,1,0,1,89,nan,93
2016R1704,Port Adelaide,2016,17,2007874401,Justin Westhoff,197,20,12,5,8,3,1,3,2,1,4,0,0,0,0,0,6,13,1,2,2,0,1,89,nan,136
2016R1704,Port Adelaide,2016,17,2013873126,Ollie Wines,78,23,13,5,10,0,0,4,6,1,5,4,3,2,1,0,7,17,0,0,1,0,3,69,nan,0
2016R1704,Port Adelaide,2016,17,2012874810,Chad Wingard,103,20,13,6,7,2,2,0,3,0,4,2,4,0,1,0,7,15,0,5,2,2,0,92,nan,106
